H [A/m] - Hystereschleife	
	B [T] - Hystereschleife
	H [A/m] - Neukurve
	B [T] - Neukurve
	
-46,9635	-0,0971573
-46,9168	-0,0971512
-46,6361	-0,0971439
-46,4958	-0,0971357
-46,3087	-0,0971263
-46,2619	-0,0971156
-46,0748	-0,0971041
-46,0748	-0,0970913
-45,8409	-0,0970772
-45,607	-0,0970624
-45,5135	-0,0970469
-45,4199	-0,0970304
-45,3264	-0,0970123
-45,186	-0,0969931
-45,0925	-0,0969734
-44,9521	-0,0969527
-44,7183	-0,0969308
-44,6247	-0,0969078
-44,5312	-0,0968837
-44,3908	-0,0968583
-44,0634	-0,0968317
-43,9698	-0,0968042
-43,9698	-0,0967758
-43,6424	-0,0967458
-43,5489	-0,0967147
-43,4085	-0,0966829
-43,315	-0,0966501
-43,1279	-0,0966156
-43,0811	-0,0965801
-42,894	-0,0965442
-42,8004	-0,0965072
-42,5198	-0,0964685
-42,3794	-0,0964288
-42,2859	-0,0963883
-41,9585	-0,0963467
-41,8649	-0,0963039
-41,7714	-0,09626
-41,4907	-0,0962151
-41,3971	-0,0961688
-41,2568	-0,0961213
-41,1633	-0,0960732
-40,8826	-0,0960244
-40,789	-0,0959741
-40,6955	-0,0959228
-40,4616	-0,0958706
-40,2277	-0,0958175
-40,181	-0,0957633
-40,0406	-0,0957078
-39,8067	-0,0956514
-39,6196	-0,095594
-39,5261	-0,095535
-39,2922	-0,0954749
-39,1986	-0,0954142
-39,0115	-0,0953522
-38,918	-0,0952889
-38,6373	-0,0952247
-38,5438	-0,0951597
-38,4034	-0,0950937
-38,1696	-0,0950264
-38,0292	-0,0949581
-37,9357	-0,0948891
-37,7486	-0,0948189
-37,5147	-0,0947471
-37,4211	-0,0946746
-37,234	-0,0946014
-37,0469	-0,0945273
-36,8598	-0,0944518
-36,7195	-0,0943751
-36,5792	-0,0942979
-36,2985	-0,0942198
-36,205	-0,0941403
-36,0646	-0,0940598
-35,8307	-0,0939784
-35,6436	-0,0938961
-35,5501	-0,0938124
-35,3162	-0,0937275
-34,942	-0,0936421
-34,8952	-0,0935556
-34,7549	-0,0934676
-34,4742	-0,0933786
-34,3807	-0,0932889
-34,1936	-0,0931977
-33,9597	-0,0931052
-33,679	-0,093012
-33,5855	-0,0929183
-33,3984	-0,0928234
-33,1645	-0,092727
-33,1177	-0,0926297
-32,9306	-0,092532
-32,6499	-0,0924332
-32,4628	-0,0923327
-32,3225	-0,0922313
-32,229	-0,0921291
-31,9015	-0,0920255
-31,7612	-0,0919207
-31,6209	-0,091815
-31,3402	-0,0917088
-31,1531	-0,0916014
-30,966	-0,0914926
-30,7789	-0,091383
-30,4515	-0,0912725
-30,3111	-0,0911605
-30,124	-0,0910472
-30,0305	-0,0909335
-29,6563	-0,0908192
-29,5627	-0,0907039
-29,3756	-0,0905871
-29,1417	-0,0904694
-28,9546	-0,0903511
-28,7207	-0,0902316
-28,5804	-0,0901107
-28,3465	-0,0899889
-28,1126	-0,0898664
-28,0659	-0,0897427
-27,832	-0,0896177
-27,5513	-0,0894918
-27,411	-0,0893649
-27,2707	-0,0892365
-26,99	-0,0891071
-26,6626	-0,088977
-26,6158	-0,0888463
-26,2884	-0,0887147
-26,1012	-0,0885817
-25,9141	-0,0884479
-25,727	-0,0883135
-25,4464	-0,0881784
-25,2593	-0,0880419
-25,1657	-0,0879041
-24,8851	-0,0877658
-24,6044	-0,0876267
-24,5576	-0,0874862
-24,277	-0,0873444
-24,0899	-0,0872018
-23,856	-0,0870587
-23,7157	-0,0869148
-23,3882	-0,0867694
-23,2479	-0,086623
-23,0608	-0,0864761
-22,8269	-0,0863284
-22,5462	-0,0861794
-22,4995	-0,0860293
-22,2656	-0,0858786
-21,9381	-0,085727
-21,7043	-0,0855741
-21,6107	-0,08542
-21,2833	-0,0852652
-21,0026	-0,0851095
-20,8155	-0,0849526
-20,722	-0,0847946
-20,4881	-0,0846359
-20,2542	-0,0844767
-20,1139	-0,0843164
-19,8332	-0,0841549
-19,5993	-0,0839925
-19,5525	-0,0838294
-19,1783	-0,0836656
-19,038	-0,0835005
-18,8041	-0,0833342
-18,4299	-0,0831673
-18,3364	-0,0829998
-18,1025	-0,0828315
-17,8686	-0,0826619
-17,6347	-0,0824913
-17,4476	-0,0823199
-17,2605	-0,0821472
-17,0266	-0,0819731
-16,7927	-0,0817982
-16,6056	-0,0816228
-16,4185	-0,0814468
-16,2314	-0,0812697
-15,9975	-0,0810912
-15,7169	-0,0809121
-15,483	-0,0807326
-15,2959	-0,0805524
-14,9217	-0,080371
-14,7814	-0,0801885
-14,641	-0,0800053
-14,4071	-0,0798215
-14,1733	-0,0796369
-14,0329	-0,079451
-13,7523	-0,0792641
-13,4716	-0,0790766
-13,3781	-0,0788886
-13,191	-0,0786994
-12,9103	-0,0785088
-12,6296	-0,0783174
-12,4893	-0,0781254
-12,3022	-0,0779327
-11,9748	-0,0777389
-11,7409	-0,0775439
-11,6941	-0,0773484
-11,3667	-0,0771523
-11,0392	-0,0769556
-10,9457	-0,0767576
-10,8054	-0,0765585
-10,5247	-0,0763589
-10,244	-0,0761589
-10,1505	-0,0759581
-9,86983	-0,0757562
-9,58917	-0,0755532
-9,44884	-0,0753493
-9,26173	-0,075145
-8,84075	-0,0749397
-8,74719	-0,0747332
-8,51331	-0,0745256
-8,27943	-0,0743175
-8,04555	-0,074109
-7,90522	-0,0738995
-7,67133	-0,0736887
-7,39068	-0,0734769
-7,20357	-0,0732647
-6,96969	-0,0730519
-6,73581	-0,0728381
-6,50192	-0,0726231
-6,31482	-0,0724072
-6,12771	-0,0721908
-5,7535	-0,0719736
-5,65995	-0,0717552
-5,47284	-0,0715357
-5,19218	-0,0713157
-4,91153	-0,0710952
-4,7712	-0,0708744
-4,63087	-0,0706529
-4,25666	-0,0704301
-4,06955	-0,0702062
-3,92922	-0,0699817
-3,60179	-0,069757
-3,41468	-0,0695314
-3,32113	-0,0693047
-2,99369	-0,0690771
-2,75981	-0,0688488
-2,71303	-0,0686201
-2,3856	-0,0683909
-2,19849	-0,068161
-1,96461	-0,0679301
-1,87106	-0,0676982
-1,5904	-0,0674656
